Loss,RMS Error
0.0118016 , 1.70642
0.0117782 , 1.70703
0.0117548 , 1.70764
0.0117318 , 1.70824
0.0117086 , 1.70885
0.0116855 , 1.70946
0.0116626 , 1.71006
0.0116397 , 1.71066
0.0116172 , 1.71126
0.0115944 , 1.71186
0.0115718 , 1.71246
0.0115493 , 1.71306
0.0115269 , 1.71366
0.0115046 , 1.71425
0.0114825 , 1.71484
0.0114602 , 1.71544
0.0114381 , 1.71603
0.0114162 , 1.71662
0.0113943 , 1.71721
0.0113724 , 1.7178
0.0113507 , 1.71839
0.0113291 , 1.71897
0.0113074 , 1.71956
0.0112861 , 1.72014
0.0112646 , 1.72073
0.0112433 , 1.72131
0.011222 , 1.72189
0.011201 , 1.72247
0.0111798 , 1.72305
0.0111587 , 1.72363
0.0111379 , 1.7242
0.0111169 , 1.72478
0.0110962 , 1.72535
0.0110755 , 1.72593
0.011055 , 1.7265
0.0110343 , 1.72707
0.011014 , 1.72764
0.0109934 , 1.72821
0.0109732 , 1.72878
0.0109529 , 1.72934
0.0109328 , 1.72991
0.0109126 , 1.73048
0.0108927 , 1.73104
0.0108727 , 1.7316
0.0108528 , 1.73216
0.010833 , 1.73273
0.0108133 , 1.73329
0.0107936 , 1.73384
0.0107741 , 1.7344
0.0107545 , 1.73496
0.0107351 , 1.73552
0.0107157 , 1.73607
0.0106964 , 1.73662
0.0106772 , 1.73718
0.0106579 , 1.73773
0.0106388 , 1.73828
0.0106199 , 1.73883
0.0106008 , 1.73938
0.0105819 , 1.73993
0.0105632 , 1.74047
0.0105443 , 1.74102
0.0105257 , 1.74157
0.010507 , 1.74211
0.0104884 , 1.74265
0.0104699 , 1.7432
0.0104514 , 1.74374
0.0104331 , 1.74428
0.0104148 , 1.74482
0.0103965 , 1.74536
0.0103783 , 1.74589
0.0103603 , 1.74643
0.0103422 , 1.74697
0.0103241 , 1.7475
0.0103061 , 1.74804
0.0102884 , 1.74857
0.0102705 , 1.7491
0.0102527 , 1.74963
0.0102351 , 1.75016
0.0102174 , 1.75069
0.0101998 , 1.75122
0.0101822 , 1.75175
0.010165 , 1.75227
0.0101475 , 1.7528
0.0101302 , 1.75332
0.010113 , 1.75385
0.0100957 , 1.75437
0.0100784 , 1.75489
0.0100614 , 1.75542
0.0100444 , 1.75594
0.0100274 , 1.75646
0.0100103 , 1.75697
0.00999355 , 1.75749
0.00997676 , 1.75801
0.00995996 , 1.75853
0.00994334 , 1.75904
0.00992661 , 1.75956
0.00990999 , 1.76007
0.00989362 , 1.76058
0.00987707 , 1.76109
0.00986063 , 1.7616
0.00984432 , 1.76211
0.00982795 , 1.76262
0.00981157 , 1.76313
0.00979556 , 1.76364
0.00977925 , 1.76415
0.00976312 , 1.76465
0.00974717 , 1.76516
0.00973116 , 1.76566
0.00971515 , 1.76617
0.00969932 , 1.76667
0.00968337 , 1.76717
0.00966754 , 1.76767
0.00965196 , 1.76817
0.00963613 , 1.76867
0.00962048 , 1.76917
0.00960496 , 1.76967
0.00958937 , 1.77017
0.00957378 , 1.77066
0.00955844 , 1.77116
0.00954309 , 1.77165
0.00952775 , 1.77215
0.00951246 , 1.77264
0.00949712 , 1.77313
0.00948196 , 1.77362
0.00946679 , 1.77411
0.00945163 , 1.7746
0.00943665 , 1.77509
0.00942167 , 1.77558
0.00940668 , 1.77607
0.00939182 , 1.77656
0.0093769 , 1.77704
0.00936198 , 1.77753
0.0093473 , 1.77801
0.00933262 , 1.7785
0.00931788 , 1.77898
0.0093032 , 1.77946
0.00928864 , 1.77994
0.00927414 , 1.78043
0.0092597 , 1.78091
0.0092452 , 1.78139
0.00923071 , 1.78186
0.00921639 , 1.78234
0.00920201 , 1.78282
0.00918782 , 1.7833
0.0091735 , 1.78377
0.00915942 , 1.78425
0.00914523 , 1.78472
0.00913109 , 1.78519
0.00911708 , 1.78567
0.00910312 , 1.78614
0.00908905 , 1.78661
0.00907515 , 1.78708
0.00906138 , 1.78755
0.00904742 , 1.78802
0.00903359 , 1.78849
0.00901994 , 1.78896
0.00900616 , 1.78942
0.00899245 , 1.78989
0.00897898 , 1.79036
0.00896521 , 1.79082
0.00895168 , 1.79129
0.00893826 , 1.79175
0.00892461 , 1.79221
0.0089112 , 1.79267
0.00889791 , 1.79314
0.0088845 , 1.7936
0.00887109 , 1.79406
0.00885792 , 1.79452
0.00884463 , 1.79497
0.00883152 , 1.79543
0.00881835 , 1.79589
0.00880518 , 1.79635
0.00879214 , 1.7968
0.00877909 , 1.79726
0.0087661 , 1.79771
0.00875305 , 1.79817
0.0087403 , 1.79862
0.00872726 , 1.79907
0.00871451 , 1.79953
0.0087017 , 1.79998
0.00868872 , 1.80043
0.00867615 , 1.80088
0.0086634 , 1.80133
0.00865078 , 1.80178
0.00863815 , 1.80222
0.00862553 , 1.80267
0.00861296 , 1.80312
0.00860052 , 1.80357
0.00858801 , 1.80401
0.00857551 , 1.80446
0.00856306 , 1.8049
0.0085508 , 1.80534
0.00853836 , 1.80579
0.00852621 , 1.80623
0.00851377 , 1.80667
0.00850169 , 1.80711
0.00848942 , 1.80755
0.00847716 , 1.80799
0.00846526 , 1.80843
0.00845299 , 1.80887
0.00844097 , 1.80931
0.00842895 , 1.80975
0.00841687 , 1.81018
0.00840497 , 1.81062
0.00839307 , 1.81105
0.00838122 , 1.81149
0.00836932 , 1.81192
0.00835754 , 1.81236
0.00834558 , 1.81279
0.00833392 , 1.81322
0.00832226 , 1.81365
0.00831036 , 1.81409
0.00829894 , 1.81452
0.00828716 , 1.81495
0.00827574 , 1.81538
0.00826408 , 1.81581
0.00825248 , 1.81623
0.00824113 , 1.81666
0.00822953 , 1.81709
0.00821817 , 1.81752
0.00820675 , 1.81794
0.00819539 , 1.81837
0.00818404 , 1.81879
0.00817268 , 1.81922
0.00816138 , 1.81964
0.00815014 , 1.82006
0.00813897 , 1.82048
0.00812779 , 1.82091
0.00811661 , 1.82133
0.00810537 , 1.82175
0.00809444 , 1.82217
0.00808326 , 1.82259
0.00807233 , 1.82301
0.00806133 , 1.82343
0.00805027 , 1.82384
0.0080394 , 1.82426
0.0080284 , 1.82468
0.00801771 , 1.82509
0.00800671 , 1.82551
0.00799578 , 1.82592
0.00798508 , 1.82634
0.00797427 , 1.82675
0.00796363 , 1.82717
0.00795282 , 1.82758
0.00794212 , 1.82799
0.00793155 , 1.8284
0.00792092 , 1.82881
0.00791028 , 1.82923
0.00789965 , 1.82964
0.00788908 , 1.83005
0.00787868 , 1.83045
0.00786817 , 1.83086
0.00785772 , 1.83127
0.00784726 , 1.83168
0.00783681 , 1.83209
0.00782654 , 1.83249
0.00781614 , 1.8329
0.00780587 , 1.8333
0.00779554 , 1.83371
0.00778527 , 1.83411
0.007775 , 1.83452
0.00776472 , 1.83492
0.00775463 , 1.83532
0.00774436 , 1.83572
0.00773433 , 1.83613
0.00772418 , 1.83653
0.00771409 , 1.83693
0.00770406 , 1.83733
0.00769403 , 1.83773
0.00768411 , 1.83813
0.00767402 , 1.83852
0.00766417 , 1.83892
0.00765414 , 1.83932
0.00764429 , 1.83972
0.00763444 , 1.84011
0.00762453 , 1.84051
0.00761474 , 1.8409
0.00760495 , 1.8413
0.00759516 , 1.84169
0.00758543 , 1.84209
0.00757558 , 1.84248
0.00756597 , 1.84287
0.00755619 , 1.84327
0.00754664 , 1.84366
0.00753697 , 1.84405
0.00752742 , 1.84444
0.00751781 , 1.84483
0.00750826 , 1.84522
0.00749871 , 1.84561
0.00748916 , 1.846
0.0074798 , 1.84639
0.00747025 , 1.84678
0.00746088 , 1.84716
0.00745145 , 1.84755
0.00744208 , 1.84794
0.00743272 , 1.84832
0.00742335 , 1.84871
0.0074141 , 1.84909
0.00740473 , 1.84948
0.00739555 , 1.84986
0.00738624 , 1.85025
0.00737705 , 1.85063
0.00736781 , 1.85101
0.00735856 , 1.85139
0.00734949 , 1.85178
0.0073403 , 1.85216
0.00733124 , 1.85254
0.00732205 , 1.85292
0.00731311 , 1.8533
0.00730392 , 1.85368
0.00729509 , 1.85406
0.00728597 , 1.85443
0.00727708 , 1.85481
0.00726801 , 1.85519
0.00725913 , 1.85557
0.00725018 , 1.85594
0.00724136 , 1.85632
0.00723241 , 1.8567
0.00722365 , 1.85707
0.00721476 , 1.85745
0.00720594 , 1.85782
0.00719717 , 1.85819
0.00718841 , 1.85857
0.00717964 , 1.85894
0.00717094 , 1.85931
0.00716223 , 1.85969
0.00715365 , 1.86006
0.00714488 , 1.86043
0.00713636 , 1.8608
0.00712765 , 1.86117
0.00711913 , 1.86154
0.00711054 , 1.86191
0.00710196 , 1.86228
0.00709338 , 1.86265
0.00708491 , 1.86301
0.00707651 , 1.86338
0.00706804 , 1.86375
0.00705958 , 1.86412
0.00705112 , 1.86448
0.00704271 , 1.86485
0.00703431 , 1.86521
0.0070259 , 1.86558
0.00701756 , 1.86594
0.00700928 , 1.86631
0.00700093 , 1.86667
0.00699265 , 1.86703
0.00698431 , 1.8674
0.00697615 , 1.86776
0.0069678 , 1.86812
0.00695976 , 1.86848
0.00695148 , 1.86884
0.00694331 , 1.86921
0.00693509 , 1.86957
0.00692699 , 1.86993
0.00691895 , 1.87029
0.00691084 , 1.87064
0.00690268 , 1.871
0.00689464 , 1.87136
0.00688654 , 1.87172
0.00687855 , 1.87208
0.00687051 , 1.87243
0.00686259 , 1.87279
0.00685461 , 1.87315
0.00684663 , 1.8735
0.00683876 , 1.87386
0.00683078 , 1.87421
0.00682292 , 1.87457
0.00681494 , 1.87492
0.00680714 , 1.87528
0.00679928 , 1.87563
0.00679153 , 1.87598
0.00678367 , 1.87633
0.00677587 , 1.87669
0.00676813 , 1.87704
0.00676039 , 1.87739
0.00675265 , 1.87774
0.00674491 , 1.87809
0.00673723 , 1.87844
0.00672955 , 1.87879
0.00672192 , 1.87914
0.00671418 , 1.87949
0.00670662 , 1.87984
0.006699 , 1.88019
0.00669138 , 1.88053
0.00668388 , 1.88088
0.00667626 , 1.88123
0.0066687 , 1.88157
0.00666114 , 1.88192
0.0066537 , 1.88227
0.00664614 , 1.88261
0.00663864 , 1.88296
0.00663126 , 1.8833
0.00662382 , 1.88365
0.00661638 , 1.88399
0.00660894 , 1.88433
0.00660156 , 1.88468
0.00659418 , 1.88502
0.0065868 , 1.88536
0.00657948 , 1.8857
0.00657216 , 1.88604
0.00656478 , 1.88639
0.00655752 , 1.88673
0.0065502 , 1.88707
0.006543 , 1.88741
0.00653574 , 1.88775
0.00652848 , 1.88809
0.00652128 , 1.88843
0.00651408 , 1.88876
0.00650688 , 1.8891
0.00649974 , 1.88944
0.00649255 , 1.88978
0.00648541 , 1.89011
0.00647833 , 1.89045
0.00647131 , 1.89079
0.00646417 , 1.89112
0.00645709 , 1.89146
0.00645001 , 1.89179
0.00644293 , 1.89213
0.00643591 , 1.89246
0.0064289 , 1.8928
0.006422 , 1.89313
0.00641492 , 1.89347
0.00640796 , 1.8938
0.00640106 , 1.89413
0.00639404 , 1.89446
0.00638714 , 1.8948
0.00638025 , 1.89513
0.00637329 , 1.89546
0.00636645 , 1.89579
0.00635961 , 1.89612
0.00635271 , 1.89645
0.00634593 , 1.89678
0.00633904 , 1.89711
0.00633226 , 1.89744
0.00632542 , 1.89777
0.00631876 , 1.8981
0.00631198 , 1.89842
0.00630521 , 1.89875
0.00629855 , 1.89908
0.00629177 , 1.89941
0.00628505 , 1.89973
0.00627833 , 1.90006
0.00627168 , 1.90039
0.00626502 , 1.90071
0.00625836 , 1.90104
0.00625176 , 1.90136
0.00624511 , 1.90169
0.00623851 , 1.90201
0.00623191 , 1.90234
0.00622531 , 1.90266
0.00621878 , 1.90298
0.00621218 , 1.90331
0.0062057 , 1.90363
0.00619916 , 1.90395
0.00619269 , 1.90427
0.00618615 , 1.90459
0.00617973 , 1.90492
0.00617307 , 1.90524
0.00616678 , 1.90556
0.0061603 , 1.90588
0.00615388 , 1.9062
0.00614747 , 1.90652
0.00614105 , 1.90684
0.00613457 , 1.90716
0.00612834 , 1.90747
0.00612198 , 1.90779
0.00611556 , 1.90811
0.0061092 , 1.90843
0.00610291 , 1.90875
0.00609661 , 1.90906
0.00609043 , 1.90938
0.00608396 , 1.9097
0.00607766 , 1.91001
0.00607142 , 1.91033
0.00606531 , 1.91064
0.00605919 , 1.91096
0.00605265 , 1.91127
0.00604654 , 1.91159
0.00604036 , 1.9119
0.0060343 , 1.91221
0.00602819 , 1.91253
0.00602177 , 1.91284
0.00601566 , 1.91315
0.00600966 , 1.91347
0.00600366 , 1.91378
0.00599719 , 1.91409
0.00599125 , 1.9144
0.00598519 , 1.91471
0.0059792 , 1.91502
0.00597314 , 1.91534
0.00596691 , 1.91565
0.00596085 , 1.91596
0.00595497 , 1.91627
0.0059491 , 1.91657
0.00594298 , 1.91688
0.00593687 , 1.91719
0.00593093 , 1.9175
0.00592505 , 1.91781
0.00591924 , 1.91812
0.00591318 , 1.91842
0.00590707 , 1.91873
0.00590125 , 1.91904
0.00589549 , 1.91935
0.00588962 , 1.91965
0.00588374 , 1.91996
0.00587763 , 1.92026
0.00587187 , 1.92057
0.00586618 , 1.92087
0.00586036 , 1.92118
0.00585443 , 1.92148
0.00584849 , 1.92179
0.00584279 , 1.92209
0.00583704 , 1.92239
0.00583134 , 1.9227
0.00582547 , 1.923
0.00581965 , 1.9233
0.00581402 , 1.92361
0.00580826 , 1.92391
0.00580257 , 1.92421
0.00579699 , 1.92451
0.00579106 , 1.92481
0.00578536 , 1.92511
0.00577978 , 1.92541
0.00577415 , 1.92571
0.00576857 , 1.92601
0.00576276 , 1.92631
0.00575712 , 1.92661
0.00575161 , 1.92691
0.00574597 , 1.92721
0.00574052 , 1.92751
0.00573482 , 1.92781
0.00572913 , 1.92811
0.00572355 , 1.9284
